Date,Pair,Spread
2016-11-03,TTF-HH,0.6917015713454184
2016-11-04,TTF-HH,0.6638088093885106
2016-11-07,TTF-HH,0.6270923589044102
2016-11-08,TTF-HH,0.6751355803954386
2016-11-09,TTF-HH,0.6686868829897847
2016-11-10,TTF-HH,0.6992078051716364
2016-11-11,TTF-HH,0.7035926273502757
2016-11-14,TTF-HH,0.6287299082858144
2016-11-15,TTF-HH,0.658022901285516
2016-11-16,TTF-HH,0.6256133433996243
2016-11-17,TTF-HH,0.6483169789195916
2016-11-18,TTF-HH,0.6124154091793979
2016-11-21,TTF-HH,0.5456691045684705
2016-11-22,TTF-HH,0.5496980329625007
2016-11-23,TTF-HH,0.5448725713483724
2016-11-25,TTF-HH,0.5197966090968462
2016-11-28,TTF-HH,0.48779005336416725
2016-11-29,TTF-HH,0.46300331686342666
2016-11-30,TTF-HH,0.46529386836249587
2016-12-01,TTF-HH,0.4138935873802805
2016-12-02,TTF-HH,0.40274507534506476
2016-12-05,TTF-HH,0.30820082177678665
2016-12-06,TTF-HH,0.2742497580506502
2016-12-07,TTF-HH,0.2789009162987146
2016-12-08,TTF-HH,0.26330064283274135
2016-12-09,TTF-HH,0.2547787888410502
2016-12-12,TTF-HH,0.3570740658757805
2016-12-13,TTF-HH,0.3683224492336552
2016-12-14,TTF-HH,0.34910398352711347
2016-12-15,TTF-HH,0.3820917569228557
2016-12-16,TTF-HH,0.40653822659561567
2016-12-19,TTF-HH,0.40487531157086654
2016-12-20,TTF-HH,0.4520687020071854
2016-12-21,TTF-HH,0.37760070994440587
2016-12-22,TTF-HH,0.4028235971382572
2016-12-23,TTF-HH,0.3695086772583063
2016-12-28,TTF-HH,0.33647223662121295
2016-12-29,TTF-HH,0.3813290651351333
2016-12-30,TTF-HH,0.43039347399689953
2017-01-03,TTF-HH,0.48210326151177796
2017-01-04,TTF-HH,0.5248679808890298
2017-01-05,TTF-HH,0.5239381773320824
2017-01-06,TTF-HH,0.503308859067582
2017-01-09,TTF-HH,0.5918247642660457
2017-01-10,TTF-HH,0.5714861348282168
2017-01-11,TTF-HH,0.6224690898174516
2017-01-12,TTF-HH,0.5645819190963199
2017-01-13,TTF-HH,0.5394838539271862
2017-01-17,TTF-HH,0.5140443536846064
2017-01-18,TTF-HH,0.5546715093113228
2017-01-19,TTF-HH,0.5495551693584391
