Date,Pair,Correlation
2023-12-13,NBP-HH,0.13733604177585307
2023-12-14,NBP-HH,0.1406929179197075
2023-12-15,NBP-HH,0.1378002050387765
2023-12-18,NBP-HH,0.1397118630212275
2023-12-19,NBP-HH,0.13835180450701065
2023-12-20,NBP-HH,0.13478338940553006
2023-12-21,NBP-HH,0.13526462951646975
2023-12-22,NBP-HH,0.12666615427660155
2023-12-27,NBP-HH,0.11929365635824007
2023-12-28,NBP-HH,0.11947149824963918
2023-12-29,NBP-HH,0.12086609636310605
2024-01-02,NBP-HH,0.11387895623917807
2024-01-03,NBP-HH,0.12142701814824752
2024-01-04,NBP-HH,0.11838459687268045
2024-01-05,NBP-HH,0.12149857565328395
2024-01-08,NBP-HH,0.11608962597169577
2024-01-09,NBP-HH,0.10013189902172712
2024-01-10,NBP-HH,0.10621971198954959
2024-01-11,NBP-HH,0.13641380475339404
2024-01-12,NBP-HH,0.13984449056793388
2024-01-16,NBP-HH,0.14778673942765344
2024-01-17,NBP-HH,0.14258370477367113
2024-01-18,NBP-HH,0.14259358296343336
2024-01-19,NBP-HH,0.13931153811694957
2024-01-22,NBP-HH,0.13942315539500919
2024-01-23,NBP-HH,0.14470959090069896
2024-01-24,NBP-HH,0.15545600877502755
2024-01-25,NBP-HH,0.15666192887189154
2024-01-26,NBP-HH,0.16295299229035837
2024-01-29,NBP-HH,0.1635781653120111
2024-01-30,NBP-HH,0.1374086607945036
2024-01-31,NBP-HH,0.13637455234414744
2024-02-01,NBP-HH,0.13617737124570053
2024-02-02,NBP-HH,0.13542910207715886
2024-02-05,NBP-HH,0.13636930199626957
2024-02-06,NBP-HH,0.13514761858061478
2024-02-07,NBP-HH,0.14266653079764446
2024-02-08,NBP-HH,0.14275716134853142
2024-02-09,NBP-HH,0.1443067348132315
2024-02-12,NBP-HH,0.14740391959450114
2024-02-13,NBP-HH,0.15130976923569117
2024-02-14,NBP-HH,0.14940609343387623
2024-02-15,NBP-HH,0.14963924006150015
2024-02-16,NBP-HH,0.1485999541364296
2024-02-20,NBP-HH,0.1473131117209856
2024-02-21,NBP-HH,0.14504685443947665
2024-02-22,NBP-HH,0.14867744668340732
2024-02-23,NBP-HH,0.14663958311530587
2024-02-26,NBP-HH,0.14532764656030372
2024-02-27,NBP-HH,0.14575439436591284
2024-02-28,NBP-HH,0.15212171829329954
2024-02-29,NBP-HH,0.15270659710071618
2024-03-01,NBP-HH,0.15149217516873614
2024-03-04,NBP-HH,0.16669300414663457
2024-03-05,NBP-HH,0.16760491235046016
2024-03-06,NBP-HH,0.16717627671586066
2024-03-07,NBP-HH,0.16722827694987297
2024-03-08,NBP-HH,0.1724810288010311
2024-03-11,NBP-HH,0.16319376792980506
2024-03-12,NBP-HH,0.1624168079766951
2024-03-13,NBP-HH,0.1615887807903508
2024-03-14,NBP-HH,0.16439155832478083
2024-03-15,NBP-HH,0.17857922380481323
2024-03-18,NBP-HH,0.1880469518878747
2024-03-19,NBP-HH,0.18765423118106578
2024-03-20,NBP-HH,0.18559321960997796
