Dependent,Independent,Lag,ACF,Significant
NBP,TTF,8,0.03557601192388084,FALSE
NBP,TTF,9,-0.06864704057316592,TRUE
NBP,TTF,10,0.042325705355655246,TRUE
NBP,TTF,11,0.036464101509870096,FALSE
NBP,TTF,12,0.017063125717118346,FALSE
NBP,TTF,13,-0.013123294795698407,FALSE
NBP,TTF,14,0.027499594457951953,FALSE
NBP,TTF,15,-0.013705394970946973,FALSE
NBP,TTF,16,0.012171513362594148,FALSE
NBP,TTF,17,-0.026542837573142297,FALSE
NBP,TTF,18,0.03173325524786734,FALSE
NBP,TTF,19,-0.0033325749336529206,FALSE
NBP,TTF,20,-0.011308940561449656,FALSE
NBP,TTF,21,-0.04458045921233042,TRUE
NBP,TTF,22,-0.012412491866391748,FALSE
NBP,TTF,23,-0.03606159617640524,FALSE
NBP,TTF,24,0.008750344954776838,FALSE
NBP,TTF,25,-0.020688550422900638,FALSE
NBP,TTF,26,-0.02574223933943539,FALSE
NBP,TTF,27,0.0446178640893634,TRUE
NBP,TTF,28,0.04324408567933128,TRUE
NBP,TTF,29,0.025693898587826385,FALSE
NBP,TTF,30,-0.015664642684583823,FALSE
NBP,TTF,31,-0.016229924975780186,FALSE
NBP,TTF,32,-0.00949991375780782,FALSE
NBP,TTF,33,-0.02003716299145677,FALSE
NBP,TTF,34,0.0373653742888642,FALSE
TTF,HH,1,-0.041077319678865507,TRUE
TTF,HH,2,-0.006817077540361586,FALSE
TTF,HH,3,-0.03455557738788591,FALSE
TTF,HH,4,0.05737934325922225,TRUE
TTF,HH,5,-0.06311629334763938,TRUE
TTF,HH,6,-0.03284030496980566,FALSE
TTF,HH,7,0.0313224776298963,FALSE
TTF,HH,8,-0.006471099822914603,FALSE
TTF,HH,9,-0.040269362727271656,TRUE
TTF,HH,10,-0.05548535859767659,TRUE
TTF,HH,11,0.022418539441822052,FALSE
TTF,HH,12,0.011240288146451892,FALSE
TTF,HH,13,-0.0028735761686068334,FALSE
TTF,HH,14,0.03009949456109469,FALSE
TTF,HH,15,-0.002853098882286592,FALSE
TTF,HH,16,-0.03014098598959006,FALSE
TTF,HH,17,-0.048318346517994215,TRUE
TTF,HH,18,-0.0019316983360719423,FALSE
TTF,HH,19,0.0027874601410794436,FALSE
TTF,HH,20,0.025287432934177335,FALSE
TTF,HH,21,-3.1738519664097466e-4,FALSE
TTF,HH,22,-0.007038656001406943,FALSE
TTF,HH,23,0.024370536967202875,FALSE
TTF,HH,24,-0.019417763765247814,FALSE
TTF,HH,25,-8.49246566059826e-4,FALSE
TTF,HH,26,0.0014070126700905551,FALSE
TTF,HH,27,0.007379326809078225,FALSE
TTF,HH,28,0.007309994544937141,FALSE
TTF,HH,29,-0.051724514612101986,TRUE
TTF,HH,30,-0.008586001983362365,FALSE
TTF,HH,31,-0.004825690671319973,FALSE
TTF,HH,32,-0.007656487926361719,FALSE
TTF,HH,33,2.2230881711778146e-5,FALSE
TTF,HH,34,0.03110833315525715,FALSE
TTF,JKM,1,-0.06439387740100674,TRUE
TTF,JKM,2,-0.0060377250637124805,FALSE
TTF,JKM,3,-0.018193802055385833,FALSE
TTF,JKM,4,0.022891976886524376,FALSE
TTF,JKM,5,-0.05196911679550268,TRUE
TTF,JKM,6,-0.01661447543744229,FALSE
TTF,JKM,7,-0.01315359491000769,FALSE
TTF,JKM,8,-0.020690011038223967,FALSE
TTF,JKM,9,-0.04431309631040059,TRUE
TTF,JKM,10,-0.043116090545952626,TRUE
TTF,JKM,11,0.011726959144257476,FALSE
TTF,JKM,12,-0.024816317858680284,FALSE
TTF,JKM,13,-0.02398920157246533,FALSE
TTF,JKM,14,0.04212395220700594,TRUE
TTF,JKM,15,-0.007872574532813351,FALSE
TTF,JKM,16,-0.009799595480020289,FALSE
TTF,JKM,17,-0.03257647571884006,FALSE
TTF,JKM,18,0.025279340864852815,FALSE
TTF,JKM,19,0.015042094309256446,FALSE
TTF,JKM,20,0.01329527220941993,FALSE
TTF,JKM,21,0.02898981936380124,FALSE
TTF,JKM,22,-0.009513745703179673,FALSE
TTF,JKM,23,0.0325100310909191,FALSE
TTF,JKM,24,-0.008711587146620866,FALSE
TTF,JKM,25,-0.0030005304186889715,FALSE
TTF,JKM,26,-0.009743783463562233,FALSE
TTF,JKM,27,-0.012261404157450962,FALSE
TTF,JKM,28,0.01696290114199879,FALSE
TTF,JKM,29,-0.05131417689394205,TRUE
TTF,JKM,30,-0.013020621783956476,FALSE
TTF,JKM,31,-0.0022668655257635393,FALSE
TTF,JKM,32,0.003351237231890815,FALSE
TTF,JKM,33,-0.04486910830819809,TRUE
TTF,JKM,34,0.01641626261171146,FALSE
TTF,NBP,1,0.04860077173168101,TRUE
TTF,NBP,2,0.007887024222748645,FALSE
TTF,NBP,3,0.026761005039580055,FALSE
TTF,NBP,4,-0.05679824922568761,TRUE
TTF,NBP,5,0.03605603881657947,FALSE
TTF,NBP,6,-0.02218459013817411,FALSE
TTF,NBP,7,0.005110015435646753,FALSE
TTF,NBP,8,0.019347538679033945,FALSE
TTF,NBP,9,-0.04857293518924482,TRUE
TTF,NBP,10,0.06073943193296763,TRUE
TTF,NBP,11,-0.0055705541221456305,FALSE
TTF,NBP,12,-0.011708255751900027,FALSE
TTF,NBP,13,-0.0014469032780879023,FALSE
TTF,NBP,14,0.034029983753288064,FALSE
TTF,NBP,15,0.040884371504059484,TRUE
