Dependent,Independent,Date,v_t,F_t,LogLik_t
TTF,NBP,2021-10-01,-0.009651200748354682,3.322177611321003e-4,2.945733733042065
TTF,NBP,2021-10-04,0.012395600479363278,3.336742901944394e-4,2.8534932164536744
TTF,NBP,2021-10-05,0.01148570044136532,3.7283776503155346e-4,2.851329884450152
TTF,NBP,2021-10-06,0.0016213573704892958,3.484430881428056e-4,3.0583070817749034
TTF,NBP,2021-10-07,-0.008390012084198428,3.4341484805445235e-4,2.966858423569672
TTF,NBP,2021-10-08,-0.0036015550256789375,3.3184983170051586e-4,3.0669316919768543
TTF,NBP,2021-10-11,-0.004658895217247938,3.2367863364608394e-4,3.0654120726711174
TTF,NBP,2021-10-12,0.0012711918255630117,3.22594065594065e-4,3.0981147755740213
TTF,NBP,2021-10-13,0.003831853507239913,3.3514280045500233e-4,3.059632651462123
TTF,NBP,2021-10-14,0.0012391237680811074,3.44067904854831e-4,3.0661659420385647
TTF,NBP,2021-10-15,-0.0010525510845558195,3.3727409404544264e-4,3.07672639915673
TTF,NBP,2021-10-18,-0.004707354459627666,3.331418878952481e-4,3.051274621053507
TTF,NBP,2021-10-19,-0.004304209453255492,3.3022792814102616e-4,3.0608745376173623
TTF,NBP,2021-10-20,0.0036469220319945705,3.3263775523629374e-4,3.0652979299079752
TTF,NBP,2021-10-21,-0.002267299884747054,3.295616487113345e-4,3.082135806911923
TTF,NBP,2021-10-22,4.699989330254617e-4,3.2656302584052583e-4,3.094167045351356
TTF,NBP,2021-10-25,-0.005230791465721918,3.2846960359954287e-4,3.0499451098595083
TTF,NBP,2021-10-26,0.004566514857204496,3.276506391821741e-4,3.0610206950621928
TTF,NBP,2021-10-27,-0.0044440243499286325,3.2664567208658276e-4,3.064148196335646
TTF,NBP,2021-10-28,4.041583687244277e-4,3.279470550339725e-4,3.092141616710017
TTF,NBP,2021-10-29,-0.02586747909092768,3.231199536707917e-4,2.064389961458562
TTF,NBP,2021-11-01,0.0017393068064448514,3.0812612564166947e-4,3.1186531372654174
TTF,NBP,2021-11-02,-0.00376862117812804,3.105131765412073e-4,3.0968341684136433
TTF,NBP,2021-11-03,-0.0026001652562763766,3.315096594543199e-4,3.076791194392666
TTF,NBP,2021-11-04,0.005972179176018777,3.1744515600369306e-4,3.052486124109393
TTF,NBP,2021-11-05,0.0029279779863986555,3.169860562624216e-4,3.09586508886987
TTF,NBP,2021-11-08,0.004097138405080525,3.239665636460974e-4,3.0725887570819133
TTF,NBP,2021-11-09,-0.0083716014858628,3.198821148173366e-4,2.9952943224537876
TTF,NBP,2021-11-10,0.015947044233004526,3.137944883466353e-4,2.709233002058011
TTF,NBP,2021-11-11,-0.003872559846288759,3.2078136468598054e-4,3.080061556035948
TTF,NBP,2021-11-12,0.003301766912080062,3.1817003750857795e-4,3.090391949510646
TTF,NBP,2021-11-15,0.004243767154943345,3.2490964428704246e-4,3.0693284626796253
TTF,NBP,2021-11-16,0.01099593158446499,3.549508134180259e-4,2.8825070392835195
TTF,NBP,2021-11-17,0.00835847716211724,3.3935469900837504e-4,2.9723570594653412
TTF,NBP,2021-11-18,0.0018884945036794498,3.4000111235763333e-4,3.0690975955337367
TTF,NBP,2021-11-19,-3.550903719440335e-4,3.360438809826022e-4,3.0800082627826963
TTF,NBP,2021-11-22,0.005671161587712081,3.2875429497281744e-4,3.0422463593227693
TTF,NBP,2021-11-23,-3.528590988288727e-7,3.389506037228984e-4,3.0758895530779946
TTF,NBP,2021-11-24,0.008386805847647505,3.372538822526515e-4,2.974117493245944
TTF,NBP,2021-11-26,-0.011525197380988228,3.343237728783841e-4,2.8841067994057044
TTF,NBP,2021-11-29,0.0036898362307682397,3.397527699202677e-4,3.054671174272838
TTF,NBP,2021-11-30,-0.017032429570952967,3.3810575520342763e-4,2.6481241900516346
TTF,NBP,2021-12-01,0.011291795720064446,3.402091109681067e-4,2.8866449281478124
TTF,NBP,2021-12-02,-0.0014160357255148526,3.3876438704169733e-4,3.073204808750963
TTF,NBP,2021-12-03,0.0024657444536910766,3.358486554996364e-4,3.0714348906215583
TTF,NBP,2021-12-06,-0.002066835373035314,3.342283300060333e-4,3.076514000569804
TTF,NBP,2021-12-07,0.007331641062544136,3.4170898061710887e-4,2.99318389688436
TTF,NBP,2021-12-08,-0.003845977348006624,3.47895750583012e-4,3.0416067284242825
TTF,NBP,2021-12-09,0.0056942557454604525,3.440059977303367e-4,3.0213593170150395
TTF,NBP,2021-12-10,0.0028095316344525223,3.5043862484939966e-4,3.047961685083607
TTF,NBP,2021-12-13,0.007604503658476425,3.620658438038422e-4,2.9630446436495856
TTF,NBP,2021-12-14,0.00831976966847181,3.7255612693539483e-4,2.93572606308934
TTF,NBP,2021-12-15,-0.004054370463289381,3.711450978708021e-4,3.008375333057321
TTF,NBP,2021-12-16,0.005803968252471314,3.8075280650795795e-4,2.9735054525486473
TTF,NBP,2021-12-17,0.004428253403974569,3.7330142969830123e-4,3.0013587663134564
TTF,NBP,2021-12-20,0.002357241152064482,3.828847106303387e-4,3.007693569395725
TTF,NBP,2021-12-21,0.00876482273782253,4.2567925630349794e-4,2.8717389299525835
TTF,NBP,2021-12-22,-0.004755570483233829,3.99131008690037e-4,2.9658410315307924
TTF,NBP,2021-12-23,0.013712563512713771,4.1600104686400095e-4,2.7474705438132743
TTF,NBP,2021-12-29,0.0033726551210051525,4.01621561056423e-4,2.9769005228604377
TTF,NBP,2021-12-30,-0.0070553990753388085,3.448492391933474e-4,2.995088559677427
TTF,NBP,2021-12-31,-0.018515265804096792,3.4157071242354423e-4,2.5702178654693255
TTF,NBP,2022-01-04,-0.0018607716143117514,3.6778025737294956e-4,3.0303666740984783
TTF,NBP,2022-01-05,-0.008280763097794797,3.419878534929352e-4,2.9711755201971446
TTF,NBP,2022-01-06,0.009619141489609184,3.4234397198476963e-4,2.935769982184984
TTF,NBP,2022-01-07,-0.005892180170309569,3.3330823868855323e-4,3.0322022924329364
TTF,NBP,2022-01-10,0.0034709300356983164,3.2748302589131984e-4,3.0747047713650457
TTF,NBP,2022-01-11,-5.164886036421734e-4,3.228571320673743e-4,3.0997986662343733
TTF,NBP,2022-01-12,0.0025112101220896577,3.171480574484054e-4,3.099190377475389
TTF,NBP,2022-01-13,-1.2877445641557017e-4,3.3608566013032136e-4,3.0801090410233964
TTF,NBP,2022-01-14,0.0026494032807118373,3.291826087206505e-4,3.0798486577175934
TTF,NBP,2022-01-18,0.005751978756581622,3.257362795087785e-4,3.0449873516110797
TTF,NBP,2022-01-19,0.0010490391133326504,3.171341646513164e-4,3.1074192440655772
TTF,NBP,2022-01-20,0.002088999749049858,3.158959719328064e-4,3.1042030569508876
TTF,NBP,2022-01-21,-0.0029075102509343864,3.209926917004562e-4,3.0899396422391856
TTF,NBP,2022-01-24,-6.797009496750661e-5,3.48787648042597e-4,3.0615784835884585
TTF,NBP,2022-01-25,0.0023136935891332477,3.361034109034352e-4,3.072143716429688
TTF,NBP,2022-01-26,0.014426296717328757,3.339554359689882e-4,2.771717444083745
TTF,NBP,2022-01-27,0.007501512607072325,3.3162256147816697e-4,3.0019735304214437
TTF,NBP,2022-01-28,-0.0020251753105449133,3.317411219394424e-4,3.080457760536683
TTF,NBP,2022-01-31,-0.010927687387127794,3.284687292346082e-4,2.9098216178038903
TTF,NBP,2022-02-01,0.0028513894110164806,3.23490028573008e-4,3.0866658741099537
TTF,NBP,2022-02-02,-0.006491887722812617,3.200672822071691e-4,3.0387140259913843
TTF,NBP,2022-02-03,-0.013763642530226772,3.250094478763552e-4,2.805455236817412
TTF,NBP,2022-02-04,-0.004447178348867542,3.268012908627669e-4,3.063881536123152
TTF,NBP,2022-02-07,-0.00504165135730128,3.2446187358248566e-4,3.05856287360137
TTF,NBP,2022-02-08,0.011019951767599068,3.217260461301908e-4,2.913235579147247
TTF,NBP,2022-02-09,-0.0034606965278967117,3.1892075988110876e-4,3.0875689276178324
TTF,NBP,2022-02-10,0.004325269220180061,3.1798921870989993e-4,3.0783919873442294
TTF,NBP,2022-02-11,-0.0021943879708157255,3.227490377404036e-4,3.0929193410424953
TTF,NBP,2022-02-14,0.0070461351644444115,3.257962532677796e-4,3.0194857556346055
TTF,NBP,2022-02-15,-0.011381505198551967,3.248626117605186e-4,2.897741036568185
TTF,NBP,2022-02-16,0.0047102029754713115,3.1617941412040483e-4,3.075577306773381
TTF,NBP,2022-02-17,-0.006206704179211098,3.2539812614196527e-4,3.0370981146622156
TTF,NBP,2022-02-18,0.002275065545436661,3.2029993542360914e-4,3.0961080114081456
TTF,NBP,2022-02-22,0.0028840044969120626,3.3062976761091513e-4,3.0757388933128764
TTF,NBP,2022-02-23,0.0014833339698019365,3.4359188701819476e-4,3.0658875771747396
