Dependent,Independent,Date,Residual_Std
HH,TTF,2021-09-24,0.5406202078026305
HH,TTF,2021-09-27,1.6641860407688964
HH,TTF,2021-09-28,0.21144259906178636
HH,TTF,2021-09-29,-1.4085382290589612
HH,TTF,2021-09-30,0.9506037823776731
HH,TTF,2021-10-01,-0.8139844528725821
HH,TTF,2021-10-04,0.486877750206621
HH,TTF,2021-10-05,0.8390746215380954
HH,TTF,2021-10-06,-1.7142595181157514
HH,TTF,2021-10-07,0.6623153044494938
HH,TTF,2021-10-08,-0.09733651442561339
HH,TTF,2021-10-11,-0.5908399758172852
HH,TTF,2021-10-12,0.5429467288718481
HH,TTF,2021-10-13,-0.14042819143573185
HH,TTF,2021-10-14,-0.02363219438281896
HH,TTF,2021-10-15,-0.6072120322718985
HH,TTF,2021-10-18,-1.3544477089364262
HH,TTF,2021-10-19,0.5365687542818913
HH,TTF,2021-10-20,0.0342448511754169
HH,TTF,2021-10-21,-0.02633491024425371
HH,TTF,2021-10-22,0.648368625910033
HH,TTF,2021-10-25,1.871877248555308
HH,TTF,2021-10-26,-0.16506814522438296
HH,TTF,2021-10-27,1.1507670111801924
HH,TTF,2021-10-28,-0.8454784372167105
HH,TTF,2021-10-29,-0.26730028955406443
HH,TTF,2021-11-01,-0.8673554802456884
HH,TTF,2021-11-02,1.094954150045882
HH,TTF,2021-11-03,-0.275165160406906
HH,TTF,2021-11-04,0.3347711483231088
HH,TTF,2021-11-05,-0.6796698836279835
HH,TTF,2021-11-08,-0.5233415571992608
HH,TTF,2021-11-09,-1.2969416409552181
HH,TTF,2021-11-10,-0.13478540199899003
HH,TTF,2021-11-11,0.6621325700261764
HH,TTF,2021-11-12,-1.499248971459569
HH,TTF,2021-11-15,0.7677955245248533
HH,TTF,2021-11-16,-0.22552246884989346
HH,TTF,2021-11-17,-1.3427661183481268
HH,TTF,2021-11-18,0.4195712195053029
HH,TTF,2021-11-19,0.7870493415790583
HH,TTF,2021-11-22,-0.8919745568206554
HH,TTF,2021-11-23,0.477589676242684
HH,TTF,2021-11-24,0.10746228691794092
HH,TTF,2021-11-26,1.532756280417116
HH,TTF,2021-11-29,-2.3026348435814614
HH,TTF,2021-11-30,-0.8410015865700716
HH,TTF,2021-12-01,-1.3662419641255723
HH,TTF,2021-12-02,-0.8179900456758137
HH,TTF,2021-12-03,0.4519997049952909
HH,TTF,2021-12-06,-2.2552788056121007
HH,TTF,2021-12-07,0.28453580874427287
HH,TTF,2021-12-08,0.22936052668454393
HH,TTF,2021-12-09,-0.019335095306761484
HH,TTF,2021-12-10,0.41706076625460825
HH,TTF,2021-12-13,-0.8026983304175895
HH,TTF,2021-12-14,-0.31972120028322887
HH,TTF,2021-12-15,0.16472450219216508
HH,TTF,2021-12-16,-0.316569239607997
HH,TTF,2021-12-17,-0.24644630933879208
HH,TTF,2021-12-20,0.5309379640105129
HH,TTF,2021-12-21,-0.254621030601679
HH,TTF,2021-12-22,0.5016689839495981
HH,TTF,2021-12-23,-0.5966621668178722
HH,TTF,2021-12-29,1.9280295892801378
HH,TTF,2021-12-30,-2.154106103123848
HH,TTF,2021-12-31,1.357819038076909
HH,TTF,2022-01-04,-0.46197321132692565
HH,TTF,2022-01-05,0.7693637077785512
HH,TTF,2022-01-06,-0.42948052259850844
HH,TTF,2022-01-07,0.6300736334951986
HH,TTF,2022-01-10,0.740848614855915
HH,TTF,2022-01-11,0.8127480704856769
HH,TTF,2022-01-12,2.5219407726319
HH,TTF,2022-01-13,-2.58814633395496
HH,TTF,2022-01-14,0.21232323423202495
HH,TTF,2022-01-18,0.03397855798310313
HH,TTF,2022-01-19,-1.1064751428143602
HH,TTF,2022-01-20,-1.0123529631055226
HH,TTF,2022-01-21,0.9005262241177722
HH,TTF,2022-01-24,-0.08009397667716413
HH,TTF,2022-01-25,0.1374974707158569
HH,TTF,2022-01-26,0.9554841489787599
HH,TTF,2022-01-27,6.68010182437106
HH,TTF,2022-01-28,-5.608350977865818
HH,TTF,2022-01-31,1.4922087713710404
HH,TTF,2022-02-01,-0.5870178233475343
HH,TTF,2022-02-02,2.6953892944829967
HH,TTF,2022-02-03,-2.302843099975901
HH,TTF,2022-02-04,-1.1081369867838573
HH,TTF,2022-02-07,-1.4474856614023845
HH,TTF,2022-02-08,0.05309963312388159
HH,TTF,2022-02-09,-1.1147994494972884
HH,TTF,2022-02-10,-0.2235204876587482
HH,TTF,2022-02-11,-0.1618949744410533
HH,TTF,2022-02-14,1.0725198805660712
HH,TTF,2022-02-15,0.5344919424332223
HH,TTF,2022-02-16,1.732976252897956
HH,TTF,2022-02-17,-1.021965261952136
HH,TTF,2022-02-18,-0.15130064392202722
HH,TTF,2022-02-22,0.14594114641321768
HH,TTF,2022-02-23,0.35878510413636966
HH,TTF,2022-02-24,-0.504319670726092
HH,TTF,2022-02-25,-0.20703838538062197
HH,TTF,2022-02-28,-0.31177749977910146
HH,TTF,2022-03-01,0.4758459705952594
HH,TTF,2022-03-02,0.3507362148326071
HH,TTF,2022-03-03,-0.16807482796046475
HH,TTF,2022-03-04,0.7663181929743853
HH,TTF,2022-03-07,-0.788209749312765
HH,TTF,2022-03-08,-0.9368829863186298
HH,TTF,2022-03-09,0.15694325389352604
HH,TTF,2022-03-10,0.41592708471947426
HH,TTF,2022-03-11,0.2514739856984617
HH,TTF,2022-03-14,-0.18179497281987642
HH,TTF,2022-03-15,-0.337719106665687
HH,TTF,2022-03-16,0.6945111800364413
HH,TTF,2022-03-17,0.7565465744400147
HH,TTF,2022-03-18,-0.4811621847096884
HH,TTF,2022-03-21,0.18882071495928918
HH,TTF,2022-03-22,0.8874409062300891
HH,TTF,2022-03-23,-0.08821405198361258
HH,TTF,2022-03-24,0.5509989191192184
HH,TTF,2022-03-25,0.5623080185558446
HH,TTF,2022-03-28,-0.23375005412461436
HH,TTF,2022-03-29,-0.5939568863442323
HH,TTF,2022-03-30,0.6997328260059935
HH,TTF,2022-03-31,-0.031962058597197564
HH,TTF,2022-04-01,0.3427895768398468
HH,TTF,2022-04-04,-0.023141012926685904
HH,TTF,2022-04-05,0.9089022030690905
HH,TTF,2022-04-06,-0.03713558542915175
HH,TTF,2022-04-07,0.9443078911549064
HH,TTF,2022-04-08,-0.24981624818875806
HH,TTF,2022-04-11,1.040122743408833
HH,TTF,2022-04-12,0.010715011579395192
HH,TTF,2022-04-13,0.7462970326596506
HH,TTF,2022-04-14,0.8374195221480109
HH,TTF,2022-04-19,-0.2611136778404815
HH,TTF,2022-04-20,-0.56607480896389
HH,TTF,2022-04-21,-0.058311308285749625
HH,TTF,2022-04-22,-1.0388091235721262
HH,TTF,2022-04-25,0.40653217147975035
HH,TTF,2022-04-26,0.22873869050755938
HH,TTF,2022-04-27,0.9029751599848347
HH,TTF,2022-04-28,-0.8126690591635702
HH,TTF,2022-04-29,0.9237216014440316
HH,TTF,2022-05-03,1.5157962906930411
HH,TTF,2022-05-04,0.8178234280809981
HH,TTF,2022-05-05,0.6638034868558442
HH,TTF,2022-05-06,-1.3768059126611827
HH,TTF,2022-05-09,-2.0415026209669267
HH,TTF,2022-05-10,0.7438550734175693
HH,TTF,2022-05-11,0.5550119835086532
HH,TTF,2022-05-12,-0.08497211389975194
HH,TTF,2022-05-13,0.056661147356495696
HH,TTF,2022-05-16,0.7582271983610137
HH,TTF,2022-05-17,0.664978036808023
HH,TTF,2022-05-18,0.11272623870213666
